model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,350, T,1,65687,77878,1,2,1,10.892191886901855
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,467, W,1,149558,51662,1,2,1,8.188993453979492
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,492,(',1,131817,117229,1,4,1,11.457375526428223
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,607, str,1,93011,46029,1,2,1,10.561739921569824
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,660,'],1,139188,91589,1,2,1,13.410966873168945
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,680,ition,1,137520,105290,1,2,1,12.190186500549316
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,712,per,1,761,2704,1,1,1,5.613076686859131
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,718,add,1,35422,58871,1,1,1,8.556580543518066
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,737, void,1,124894,70714,1,2,1,10.550463676452637
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,818,Cont,1,18645,99942,1,2,1,10.663154602050781
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,825, one,1,34051,24398,1,2,1,10.34171199798584
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,979, when,1,103856,26080,1,2,1,8.710403442382812
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,1065,min,1,93742,45463,1,2,1,8.298843383789062
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,1104,idth,1,109737,76847,1,2,1,10.742166519165039
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,1105, them,1,132307,96514,1,2,1,11.58690357208252
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,1183,"[""",1,21470,46674,1,2,1,9.563234329223633
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,1228,cript,1,42319,14946,1,2,1,7.920191764831543
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,1291,right,1,93073,44168,1,1,1,10.05711841583252
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,1302,.g,1,67839,110323,1,2,1,10.606095314025879
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,1402,AM,1,34692,2660,1,2,1,5.649625301361084
Qwen/Qwen2-0.5B-Instruct,To bake sourdough bread,0,1489,fl,1,18936,10747,1,1,1,5.7863311767578125
