prompt,gap,f_rank,ent,p_max,isfun,ctxlen,cosang,dynamic_label
The capital of France is,5.9765625,111.0,4.110374450683594,0.23744282126426697,1.0,5.0,0.08789505809545517,1
The capital of Japan is,7.203125,204.0,3.290740489959717,0.2562214434146881,0.0,5.0,0.08567416667938232,1
The capital of Italy is,8.421875,115.0,1.9060910940170288,0.6298225522041321,1.0,5.0,0.09037517011165619,0
The Eiffel Tower is located in,7.7265625,155.0,2.4805872440338135,0.48630377650260925,1.0,6.0,0.08182553201913834,1
The Statue of Liberty is in,12.8203125,1168.0,0.9812610745429993,0.8466784358024597,1.0,6.0,0.052719131112098694,0
The tallest building in the world is in,13.3984375,621.0,0.42498207092285156,0.9372064471244812,1.0,8.0,0.06160907819867134,0
My favorite city in the world is,11.48828125,1246.0,2.669945001602173,0.3408508598804474,1.0,7.0,0.05322238430380821,0
The best city in the world is,11.5625,993.0,2.3439180850982666,0.2700875699520111,1.0,7.0,0.056732989847660065,0
I visited Paris last summer and it was,5.5078125,113.0,4.035214900970459,0.19603413343429565,1.0,8.0,0.09773291647434235,1
"If you ask me which European city is the most beautiful, I would say that",8.828125,100.0,1.9701497554779053,0.3813321888446808,1.0,16.0,0.0980646163225174,0
The most populous city in the United States is,12.265625,1044.0,2.0401570796966553,0.4945310652256012,1.0,9.0,0.061217062175273895,0
The Olympic Games were held in,5.578125,40.0,2.5329511165618896,0.38101425766944885,1.0,6.0,0.10721579194068909,0
