model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
openai-community/gpt2,The capital of France is,0,60,],1,1008,923,1,3,1,12.480354309082031
openai-community/gpt2,The capital of France is,0,74,k,1,246,235,1,2,1,9.793316841125488
openai-community/gpt2,The capital of France is,0,80,q,1,3945,4787,1,3,1,12.46933650970459
openai-community/gpt2,The capital of France is,0,81,r,1,265,254,1,2,1,9.519392013549805
openai-community/gpt2,The capital of France is,0,264, s,1,558,401,1,3,1,13.483688354492188
openai-community/gpt2,The capital of France is,0,268,en,1,1007,837,1,2,1,12.119098663330078
openai-community/gpt2,The capital of France is,0,270,it,1,213,720,1,2,1,11.297262191772461
openai-community/gpt2,The capital of France is,0,324,ad,1,1169,1254,1,3,1,12.243797302246094
openai-community/gpt2,The capital of France is,0,351, with,2,235,143,2,6,1,
openai-community/gpt2,The capital of France is,0,358,nd,1,986,1380,1,2,1,11.484395980834961
openai-community/gpt2,The capital of France is,0,369, con,1,1869,651,1,3,1,13.413433074951172
openai-community/gpt2,The capital of France is,0,389, are,2,238,416,2,6,1,
openai-community/gpt2,The capital of France is,0,397,ab,1,1473,3000,1,3,1,12.074626922607422
openai-community/gpt2,The capital of France is,0,415,ant,1,1092,1232,1,2,1,11.307876586914062
openai-community/gpt2,The capital of France is,0,419,ort,1,3616,3559,1,1,1,9.774239540100098
openai-community/gpt2,The capital of France is,0,451,ear,1,18916,24627,1,2,1,13.031570434570312
openai-community/gpt2,The capital of France is,0,494,ie,1,886,886,1,2,1,11.320048332214355
openai-community/gpt2,The capital of France is,0,495,ure,1,3480,5862,1,2,1,12.23917293548584
openai-community/gpt2,The capital of France is,0,527,ber,1,1482,2367,1,1,1,10.876276969909668
openai-community/gpt2,The capital of France is,0,598, app,1,2394,2120,1,3,1,13.218055725097656
openai-community/gpt2,The capital of France is,0,605,ical,1,1929,2750,1,1,1,10.803105354309082
openai-community/gpt2,The capital of France is,0,608,ount,1,5465,17625,1,1,1,11.222785949707031
openai-community/gpt2,The capital of France is,0,683, him,3,3374,2466,3,9,1,
openai-community/gpt2,The capital of France is,0,694,ck,1,590,4542,1,2,1,11.59206771850586
openai-community/gpt2,The capital of France is,0,720, $,1,293,150,1,2,1,10.357162475585938
openai-community/gpt2,The capital of France is,0,722,hing,1,7038,15554,1,2,1,12.158385276794434
openai-community/gpt2,The capital of France is,0,777, these,3,573,439,2,6,1,
openai-community/gpt2,The capital of France is,0,806,pect,1,8018,9366,1,2,1,12.874059677124023
openai-community/gpt2,The capital of France is,0,863,ited,1,33011,32597,1,3,1,14.795562744140625
openai-community/gpt2,The capital of France is,0,882,erson,1,10760,17272,1,2,1,11.990663528442383
openai-community/gpt2,The capital of France is,0,887, But,2,763,1477,2,11,1,
openai-community/gpt2,The capital of France is,0,895, sm,1,3077,770,1,3,1,12.688790321350098
openai-community/gpt2,The capital of France is,0,926,tt,1,6182,6802,1,2,1,11.667097091674805
openai-community/gpt2,The capital of France is,0,976, same,1,308,278,1,2,1,10.511374473571777
openai-community/gpt2,The capital of France is,0,1001, Se,1,1259,1323,1,3,1,14.112051963806152
openai-community/gpt2,The capital of France is,0,1051, sign,1,2500,1237,1,2,1,11.852263450622559
openai-community/gpt2,The capital of France is,0,1076,ouse,1,30187,25724,1,2,1,12.472724914550781
