cls,ctx,layer,budget,target,resolved,argmax_note,root,best_note,family_top10,entry_deg
food,The capital of France is,0,17,center,0.0,43096,43096,19174,0.0,
food,The capital of France is,0,17,root,1.0,43096,43096,19174,1.0,
food,The capital of France is,0,17,best_note,1.0,19174,43096,19174,1.0,
food,The capital of France is,0,17,rand_note,1.0,19653,43096,19174,1.0,
food,The capital of France is,0,45,center,0.0,43096,43096,19174,0.0,
food,The capital of France is,0,45,root,1.0,43096,43096,19174,1.0,
food,The capital of France is,0,45,best_note,1.0,19174,43096,19174,1.0,
food,The capital of France is,0,45,rand_note,1.0,19653,43096,19174,1.0,
food,The capital of France is,8,17,center,0.0,14074,43096,14074,0.0,
food,The capital of France is,8,17,root,1.0,43096,43096,14074,1.0,
food,The capital of France is,8,17,best_note,1.0,14074,43096,14074,1.0,
food,The capital of France is,8,17,rand_note,1.0,25744,43096,14074,1.0,
food,The capital of France is,8,45,center,0.0,14074,43096,14074,3.0,
food,The capital of France is,8,45,root,1.0,43096,43096,14074,1.0,
food,The capital of France is,8,45,best_note,1.0,14074,43096,14074,1.0,
food,The capital of France is,8,45,rand_note,1.0,25744,43096,14074,1.0,
food,The capital of France is,15,17,center,0.0,14074,43096,19174,0.0,
food,The capital of France is,15,17,root,1.0,43096,43096,19174,1.0,
food,The capital of France is,15,17,best_note,1.0,19174,43096,19174,1.0,
food,The capital of France is,15,17,rand_note,1.0,51152,43096,19174,1.0,
food,The capital of France is,15,45,center,0.0,14074,43096,19174,0.0,
food,The capital of France is,15,45,root,1.0,43096,43096,19174,1.0,
food,The capital of France is,15,45,best_note,1.0,19174,43096,19174,1.0,
food,The capital of France is,15,45,rand_note,1.0,51152,43096,19174,1.0,
food,The capital of France is,23,17,center,0.0,16002,43096,16002,0.0,
food,The capital of France is,23,17,root,1.0,43096,43096,16002,1.0,
food,The capital of France is,23,17,best_note,1.0,16002,43096,16002,1.0,
food,The capital of France is,23,17,rand_note,1.0,16002,43096,16002,1.0,
food,The capital of France is,23,45,center,0.0,16002,43096,16002,0.0,
food,The capital of France is,23,45,root,1.0,43096,43096,16002,1.0,
food,The capital of France is,23,45,best_note,1.0,16002,43096,16002,1.0,
food,The capital of France is,23,45,rand_note,1.0,16002,43096,16002,1.0,
food,Once upon a time,0,17,center,0.0,43096,43096,19174,0.0,
food,Once upon a time,0,17,root,1.0,43096,43096,19174,1.0,
food,Once upon a time,0,17,best_note,1.0,19174,43096,19174,1.0,
food,Once upon a time,0,17,rand_note,1.0,17163,43096,19174,1.0,
food,Once upon a time,0,45,center,0.0,43096,43096,19174,0.0,
food,Once upon a time,0,45,root,1.0,43096,43096,19174,1.0,
food,Once upon a time,0,45,best_note,1.0,19174,43096,19174,1.0,
food,Once upon a time,0,45,rand_note,1.0,17163,43096,19174,1.0,
food,Once upon a time,8,17,center,0.0,14074,43096,14074,0.0,
food,Once upon a time,8,17,root,1.0,43096,43096,14074,1.0,
food,Once upon a time,8,17,best_note,1.0,14074,43096,14074,1.0,
food,Once upon a time,8,17,rand_note,1.0,23268,43096,14074,1.0,
food,Once upon a time,8,45,center,0.0,14074,43096,14074,3.0,
food,Once upon a time,8,45,root,1.0,43096,43096,14074,1.0,
food,Once upon a time,8,45,best_note,1.0,14074,43096,14074,1.0,
food,Once upon a time,8,45,rand_note,1.0,23268,43096,14074,1.0,
food,Once upon a time,15,17,center,0.0,14074,43096,25744,0.0,
food,Once upon a time,15,17,root,1.0,43096,43096,25744,1.0,
food,Once upon a time,15,17,best_note,1.0,25744,43096,25744,1.0,
food,Once upon a time,15,17,rand_note,1.0,23268,43096,25744,1.0,
food,Once upon a time,15,45,center,0.0,14074,43096,25744,1.0,
food,Once upon a time,15,45,root,1.0,43096,43096,25744,1.0,
food,Once upon a time,15,45,best_note,1.0,25744,43096,25744,1.0,
food,Once upon a time,15,45,rand_note,1.0,23268,43096,25744,1.0,
food,Once upon a time,23,17,center,0.0,25744,43096,25744,0.0,
food,Once upon a time,23,17,root,1.0,43096,43096,25744,1.0,
food,Once upon a time,23,17,best_note,1.0,25744,43096,25744,1.0,
food,Once upon a time,23,17,rand_note,0.0,23268,43096,25744,1.0,
food,Once upon a time,23,45,center,0.0,14074,43096,25744,0.0,
food,Once upon a time,23,45,root,1.0,43096,43096,25744,1.0,
food,Once upon a time,23,45,best_note,1.0,25744,43096,25744,1.0,
food,Once upon a time,23,45,rand_note,1.0,23268,43096,25744,1.0,
animal,The capital of France is,0,17,center,0.0,5562,51735,5562,0.0,39.63316582914573
