prompt,gap,f_rank,ent,p_max,isfun,ctxlen,cosang,static_label,dynamic_label
The capital of France is,5.9765625,111.0,4.110374450683594,0.23744282126426697,1.0,5.0,0.08789505809545517,0,1
The Eiffel Tower is located in,7.7265625,155.0,2.4805872440338135,0.48630377650260925,1.0,6.0,0.08182553201913834,0,1
My favorite city in the world is,11.48828125,1246.0,2.669945001602173,0.3408508598804474,1.0,7.0,0.05322238430380821,0,0
I visited Paris last summer and it was,5.5078125,113.0,4.035214900970459,0.19603413343429565,1.0,8.0,0.09773291647434235,1,1
"If you ask me which European city is the most beautiful, I would say that",8.828125,100.0,1.9701497554779053,0.3813321888446808,1.0,16.0,0.0980646163225174,0,0
The Olympic Games were held in,5.578125,40.0,2.5329511165618896,0.38101425766944885,1.0,6.0,0.10721579194068909,1,0
Once upon a time there was a,12.234375,5738.0,4.472469329833984,0.27798381447792053,0.0,7.0,0.026679713279008865,0,0
For dinner I made,14.9296875,3129.0,1.214095950126648,0.7773195505142212,1.0,4.0,0.03846286982297897,0,0
People from all over the world visit,9.51171875,3533.0,5.394859790802002,0.1232340931892395,0.0,7.0,0.037102602422237396,1,1
I would love to travel to,4.1796875,46.0,5.260540008544922,0.21490345895290375,1.0,6.0,0.11590277403593063,1,1
The concert was held in,11.77734375,1743.0,2.0441408157348633,0.7177673578262329,1.0,5.0,0.0478215366601944,0,1
Birds fly south in the winter to,10.16015625,767.0,3.2036216259002686,0.41039368510246277,1.0,7.0,0.06710247695446014,0,1
