model,prompt,template,correct,theta_correct,theta_distr_min,theta_distr_mean,margin,greedy_ok,theta_own_pred,recovery_of_5
Qwen--Qwen2-0.5B-Instruct,The capital of France is,0,Paris,0.14127421379089355,3.4734458923339844,4.231169891357422,4.0898956775665285,1,0.14127421379089355,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Paris,0.5248866677284241,0.551784098148346,0.9474926352500915,0.42260596752166746,0,,0
Qwen--Qwen2-0.5B-Instruct,Fact: The capital of France is,2,Paris,0.0,3.2991278171539307,4.428935241699219,4.428935241699219,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,The capital of Japan is,0,Tokyo,0.11869406700134277,4.637556076049805,5.46719799041748,5.348503923416137,1,0.11869406700134277,0
Qwen--Qwen2-0.5B-Instruct,Q: The capital of Japan is A:,1,Tokyo,0.0,2.111646890640259,2.3235546112060548,2.3235546112060548,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,Fact: The capital of Japan is,2,Tokyo,0.0,4.958395481109619,5.388981628417969,5.388981628417969,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,Rome,0.7396636605262756,1.7370866537094116,2.922890305519104,2.1832266449928284,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Rome,0.6824231743812561,1.057584285736084,1.612315821647644,0.929892647266388,0,,0
Qwen--Qwen2-0.5B-Instruct,Fact: The capital of Italy is,2,Rome,0.01978234015405178,1.859305739402771,3.2834036588668822,3.2636213187128305,1,0.01978234015405178,0
Qwen--Qwen2-0.5B-Instruct,The capital of Germany is,0,Berlin,0.0,1.5501550436019897,3.2922583341598513,3.2922583341598513,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Berlin,1.2992020845413208,1.2070693969726562,1.7154788732528687,0.41627678871154794,0,,0
Qwen--Qwen2-0.5B-Instruct,Fact: The capital of Germany is,2,Berlin,0.0,2.126056432723999,3.853330659866333,3.853330659866333,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,Ottawa,0.9041727781295776,1.1547051668167114,2.5390188932418822,1.6348461151123046,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Ottawa,3.899077892303467,3.769566535949707,4.372873735427857,0.4737958431243898,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,Ottawa,0.0,0.8791550993919373,2.5833165526390074,2.5833165526390074,0,0.8791550993919373,0
Qwen--Qwen2-0.5B-Instruct,The capital of Russia is,0,Moscow,0.0,2.9299097061157227,4.019361591339111,4.019361591339111,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,Q: The capital of Russia is A:,1,Moscow,0.0,1.5697251558303833,1.7908329248428345,1.7908329248428345,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,Fact: The capital of Russia is,2,Moscow,0.0,2.6258466243743896,4.438999032974243,4.438999032974243,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,A baby cat is called a,0,kitten,0.0,1.9140751361846924,2.8382944583892824,2.8382944583892824,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,Q: A baby cat is called a A:,1,kitten,0.0,1.151140809059143,1.8192171573638916,1.8192171573638916,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,Fact: A baby cat is called a,2,kitten,0.01978234015405178,1.875758409500122,3.1745861053466795,3.1548037651926277,1,0.01978234015405178,0
Qwen--Qwen2-0.5B-Instruct,A baby dog is called a,0,puppy,0.0656106099486351,1.2874000072479248,2.897649145126343,2.8320385351777078,1,0.0656106099486351,0
Qwen--Qwen2-0.5B-Instruct,Q: A baby dog is called a A:,1,puppy,0.0,0.4865826964378357,2.4775274872779844,2.4775274872779844,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,Fact: A baby dog is called a,2,puppy,0.0,1.3479911088943481,3.165849471092224,3.165849471092224,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,A baby sheep is called a,0,lamb,0.0,0.9211111068725586,2.079262375831604,2.079262375831604,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,Q: A baby sheep is called a A:,1,lamb,0.0,0.06255725771188736,1.4422743037343024,1.4422743037343024,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,Fact: A baby sheep is called a,2,lamb,0.0,0.9104272723197937,1.8873822569847107,1.8873822569847107,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,A baby cow is called a,0,calf,0.0,0.7047112584114075,2.2302555203437806,2.2302555203437806,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,Q: A baby cow is called a A:,1,calf,0.01978234015405178,1.0829976797103882,1.9442713260650635,1.9244889859110117,1,0.01978234015405178,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,calf,0.0,0.7457234859466553,2.117943358421326,2.117943358421326,0,,3
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,Jupiter,0.5851721167564392,0.1570175141096115,0.8181426614522934,0.2329705446958542,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Jupiter,0.8991813063621521,0.0,1.1107494473457336,0.21156814098358145,0,0.0,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,Jupiter,0.6000308394432068,0.0,0.6047335058450699,0.00470266640186312,0,,0
Qwen--Qwen2-0.5B-Instruct,The fastest land animal is the,0,cheetah,0.05595291033387184,1.0507159233093262,1.737465786933899,1.6815128766000271,1,0.05595291033387184,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,cheetah,1.2528892755508423,0.8789324760437012,1.4556046009063721,0.20271532535552983,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,cheetah,0.27268099784851074,0.7116191387176514,1.701582407951355,1.4289014101028443,0,,1
Qwen--Qwen2-0.5B-Instruct,The closest star to Earth is the,0,Sun,0.0,1.8636164665222168,2.862015199661255,2.862015199661255,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,Q: The closest star to Earth is the A:,1,Sun,0.0,1.1974663734436035,2.1864544630050657,2.1864544630050657,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,Fact: The closest star to Earth is the,2,Sun,0.0,2.0176119804382324,2.8447318077087402,2.8447318077087402,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,One plus one equals,0,two,0.0,1.509606122970581,1.8790274143218995,1.8790274143218995,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,two,1.9216265678405762,2.042581081390381,2.864733648300171,0.9431070804595949,0,,0
