topic,prompt,cond,seed,occ,distinct,diversity,maxrun,first_hit,text
food,Once upon a time,base,0,0,0,0.7291666666666666,2,0,， there was a little （66） B ． He liked going fishing very much． He went to the river three times a week to fish， and he 
food,Once upon a time,base,1,0,0,0.8125,1,0,", there lived a kind, wise king who loved his people. He gave them lots of food, wonderful clothes and sweet dreams. And"
food,Once upon a time,base,2,0,0,0.6666666666666666,1,0,", a village lived in the scorching heat of a scorching sun. There were a few children, growing up. One of the children, "
food,Once upon a time,ss_note,0,2,1,0.8125,1,1, honeycomb was the only honeyboard out there. It was like one of those kids with a stuffed animal who makes up the rest 
food,Once upon a time,ss_note,1,1,1,0.7291666666666666,3,1," honey, when the world was ten thousand years old. If you could travel back in time to 10,000 years, you'd have time to "
food,Once upon a time,ss_note,2,1,1,0.6875,1,1," honey, I was tired of hearing the endless tale of sugar, and how important it is to keep it. But I’m finally admitting "
food,Once upon a time,ss_center,0,0,0,0.8125,1,0,",...

It was a dark, stormy night. The only thing that could be heard was the crash of the waves on the shore.

Me and m"
food,Once upon a time,ss_center,1,0,0,0.875,1,0," 😉

For this, we at Screener wanted to create a few simpler, yet incredibly important tools in the digital world. As an "
food,Once upon a time,ss_center,2,1,1,0.75,1,1, milk chocolate became a distinctive part of the culinary world as a trendy and delicious treat for the chocolate lovers
food,Once upon a time,cad_k1,0,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Once upon a time,cad_k1,1,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Once upon a time,cad_k1,2,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Once upon a time,cad_k3,0,9,1,0.3958333333333333,1,1," honeycomb was honey... well honey indeed, honey always was honey...
... honeycomb c honeycomb inc honeycomb on honeycom"
food,Once upon a time,cad_k3,1,10,1,0.4791666666666667,2,1," honey, when honey became lovely honey. When honey was made honey, honey honey danced. honey bees would honey.
But honey"
food,Once upon a time,cad_k3,2,10,1,0.3125,1,1," honey, I honey.
Every honey in this honey is a honey!
Every honey in this honey is a honey!
V honey coba honey coba hon"
food,Once upon a time,cad_k6,0,6,1,0.6458333333333334,2,1," honeycomb was the only honey honeycomb we used, so honey went down through it with honeycomb and never came out honeyco"
food,Once upon a time,cad_k6,1,6,1,0.5625,1,1," honey, when the world was honeyed, a whole bunch honey was poured into the nest honeycomb. A lot of honey, honey, bee c"
food,Once upon a time,cad_k6,2,7,3,0.6041666666666666,1,1," honey, I was tired of honey in everything. I was bread and buttered with honey bread and honey flavored tea in milk. I "
food,Once upon a time,per_note,0,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Once upon a time,per_note,1,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Once upon a time,per_note,2,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Once upon a time,per_center,0,0,0,0.0625,1,0,",...

SURE!.

SURE!.

SURE!.

SURE!.

SURE!.

SURE!.

SURE!.

SURE!.

SURE!.

SURE!.

SURE!.

SURE!.

SURE!.

SURE!.

SU"
food,Once upon a time,per_center,1,0,0,0.0416666666666666,47,0," 😉

😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉"
food,Once upon a time,per_center,2,22,1,0.0416666666666666,46,1, milk chocolate milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk
