prompt,transform,gap,alpha,plant,xtgt,dis,div,maxrun,rep4,text
ask,baseline,8.828,0.202,0.0,0,0,0.1,1,0.895," is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it"
ask,rot,8.828,0.202,1.0,5,1,0.2,1,0.772," Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that"
ask,fourrier,8.828,0.202,0.0,0,0,0.1,1,0.895," is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it is the most beautiful, it"
ask,adddelta,8.828,0.202,1.0,5,1,0.2,1,0.772," Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that"
ask,freqlow,8.828,0.202,1.0,5,1,0.2,1,0.772," Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that"
ask,freqhigh,8.828,0.202,1.0,5,1,0.2,1,0.772," Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that's not true, Paris is the most beautiful, but that"
fr,baseline,5.977,0.143,0.0,0,0,0.033,59,0.965, I J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J
fr,rot,5.977,0.143,1.0,60,1,0.017,60,0.982, Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris
fr,fourrier,5.977,0.143,0.0,0,0,0.033,59,0.965, I J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J
fr,adddelta,5.977,0.143,1.0,60,1,0.017,60,0.982, Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris
fr,freqlow,5.977,0.143,0.0,0,0,0.033,59,0.965, I J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J
fr,freqhigh,5.977,0.143,0.0,0,0,0.033,59,0.965, I J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J J
