model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,350, T,1,20924,39097,1,2,1,6.9875569343566895
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,467, W,1,141864,26279,1,2,1,7.60596227645874
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,492,(',1,48305,44848,1,2,1,8.89391040802002
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,607, str,1,66451,40119,1,1,1,9.049734115600586
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,660,'],1,100365,65930,1,2,1,10.57801628112793
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,680,ition,1,103663,103380,1,1,1,8.884334564208984
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,712,per,1,336,2306,1,1,1,5.860589027404785
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,718,add,1,30002,41047,1,2,1,8.64708137512207
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,737, void,1,124940,71509,1,2,1,10.435477256774902
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,818,Cont,1,58284,101148,1,2,1,10.39808177947998
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,825, one,1,41154,63109,1,2,1,9.880183219909668
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,979, when,1,16875,2613,1,1,1,6.624074459075928
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1065,min,1,49249,22344,1,2,1,7.3445024490356445
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1104,idth,1,1577,1482,1,1,1,5.5852370262146
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1105, them,1,19594,11974,1,2,1,7.957026958465576
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1183,"[""",1,21291,52190,1,2,1,8.903205871582031
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1228,cript,1,11827,14809,1,1,1,7.2442145347595215
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1291,right,1,72736,43945,1,2,1,9.194916725158691
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1302,.g,1,90151,83286,1,2,1,11.033160209655762
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1402,AM,1,24885,939,1,1,1,5.301107883453369
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1489,fl,1,46783,17419,1,1,1,7.538889408111572
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1546,sole,1,19694,48833,1,2,1,9.050642967224121
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1619, att,1,139780,126637,1,2,1,10.699607849121094
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1822, av,1,28899,61565,1,1,1,8.405497550964355
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1854,uss,1,115875,113474,1,2,1,10.363692283630371
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,1890,AG,1,527,1696,1,1,1,6.396683692932129
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2095,utes,1,33116,29782,1,2,1,8.518844604492188
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2100, AN,1,2787,1590,1,2,1,7.2892327308654785
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2197, document,1,85725,27350,1,2,1,10.384688377380371
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2216,ric,1,24040,20996,1,2,1,7.993486404418945
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2375,erg,1,64823,51982,1,1,1,8.278257369995117
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2512,Action,1,78678,103131,1,2,1,10.542608261108398
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2673,ically,1,16619,10687,1,1,1,7.180079460144043
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2682,vis,1,89634,59861,1,2,1,9.577939987182617
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2700,ponents,1,10620,16284,1,2,1,9.271783828735352
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2752,pen,1,38388,16515,1,1,1,7.8961358070373535
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2884, design,1,74558,74084,1,2,1,11.607599258422852
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,2931,quired,1,2609,3102,1,2,1,6.378693103790283
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3114,cribe,1,69259,104725,1,2,1,10.110804557800293
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3182,create,1,60945,118705,1,2,1,12.946008682250977
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3246,agn,1,325,253,1,1,1,5.590345859527588
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3314,cul,1,635,1343,1,1,1,4.7964253425598145
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3323,Token,1,55697,41755,1,2,1,10.486321449279785
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3409, word,1,8963,22085,1,2,1,8.35352611541748
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3425, whether,1,52932,14431,1,2,1,8.631091117858887
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3509,node,1,131083,136314,1,2,1,12.48935604095459
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3613, members,1,12845,54630,1,2,1,10.32353687286377
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3738, human,1,79496,22521,1,2,1,9.584722518920898
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3751,fect,1,1038,4744,1,1,1,6.071156978607178
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,3774, unsigned,1,130372,104441,1,2,1,12.673429489135742
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,4372,avigation,1,2776,8509,1,2,1,7.559352874755859
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,4428, similar,1,5859,29258,1,2,1,10.436727523803711
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,4477,ARE,1,23612,5872,1,2,1,8.743338584899902
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,4520, Sec,1,146654,145918,1,2,1,13.59090805053711
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,4564, connect,1,45703,20590,1,2,1,9.922290802001953
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,4578,tag,1,93234,104924,1,2,1,9.8970947265625
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,4624,Repository,1,126869,134397,1,5,1,14.620996475219727
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,4738,ief,1,21421,9092,1,1,1,7.131714820861816
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,4796, campaign,1,140124,109818,1,4,1,13.182948112487793
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,4880, shall,1,99223,24937,1,2,1,10.108864784240723
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,5206, mut,1,5960,646,1,1,1,6.239370822906494
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,5293, notice,1,132589,118832,1,2,1,11.158493995666504
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,5332,_config,1,86546,80551,1,2,1,13.236824989318848
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,0,5425, prote,1,38008,48496,1,2,1,10.838772773742676
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,9,350, T,1,5323,4371,1,2,1,5.753389358520508
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,9,467, W,1,127525,3976,1,2,1,6.513568878173828
Qwen/Qwen2-1.5B-Instruct,To bake sourdough bread,9,492,(',1,68882,52721,1,2,1,9.387863159179688
