model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
google/gemma-3-1b-it,To bake sourdough bread,0,322,T,3251,260295,260208,3090,4073,3111,
google/gemma-3-1b-it,To bake sourdough bread,0,605,us,1,4295,3185,1,5,1,12.138837814331055
google/gemma-3-1b-it,To bake sourdough bread,0,806,ous,1,30438,41933,1,10,1,13.996663093566895
google/gemma-3-1b-it,To bake sourdough bread,0,850, app,1,34459,51333,1,2,1,14.00966739654541
google/gemma-3-1b-it,To bake sourdough bread,0,1049,inal,1,80969,53146,1,11,1,14.947035789489746
google/gemma-3-1b-it,To bake sourdough bread,0,1143,cept,8,226631,215052,8,11,1,
google/gemma-3-1b-it,To bake sourdough bread,0,1176, said,1,380,248,1,1,1,9.726462364196777
google/gemma-3-1b-it,To bake sourdough bread,0,1240,riv,1,1061,4880,1,8,1,12.647037506103516
google/gemma-3-1b-it,To bake sourdough bread,0,1276, Re,1,91,91,1,2,1,8.896656036376953
google/gemma-3-1b-it,To bake sourdough bread,0,1382, aut,1,22543,73673,1,2,1,15.879281044006348
google/gemma-3-1b-it,To bake sourdough bread,0,1417,wn,1,87554,87913,1,11,1,16.193634033203125
google/gemma-3-1b-it,To bake sourdough bread,0,1428, equ,1,5952,16310,1,11,1,14.550393104553223
google/gemma-3-1b-it,To bake sourdough bread,0,1844,uf,1,6105,34475,1,11,1,13.715265274047852
google/gemma-3-1b-it,To bake sourdough bread,0,1911, var,1,7687,5509,1,2,1,12.815326690673828
google/gemma-3-1b-it,To bake sourdough bread,0,1916,rc,1,23107,12994,1,11,1,13.904434204101562
google/gemma-3-1b-it,To bake sourdough bread,0,2048, prote,1,66607,73821,1,11,1,15.982246398925781
google/gemma-3-1b-it,To bake sourdough bread,0,2124,++,2,80152,73766,1,11,1,
google/gemma-3-1b-it,To bake sourdough bread,0,2233, invest,1,37741,48854,1,4,1,14.388489723205566
google/gemma-3-1b-it,To bake sourdough bread,0,2247, put,1,110303,72056,1,2,1,14.856194496154785
google/gemma-3-1b-it,To bake sourdough bread,0,2423,ino,1,3024,5735,1,5,1,12.372593879699707
google/gemma-3-1b-it,To bake sourdough bread,0,2582,EXT,2,60743,115023,4,11,1,
google/gemma-3-1b-it,To bake sourdough bread,0,2669,ending,6,170101,187660,7,11,1,
google/gemma-3-1b-it,To bake sourdough bread,0,2802, access,1,61176,75732,1,11,1,15.481553077697754
google/gemma-3-1b-it,To bake sourdough bread,0,3155, house,1,11455,14904,1,2,1,12.671332359313965
google/gemma-3-1b-it,To bake sourdough bread,0,3210, thing,1,117800,112139,1,11,1,15.289433479309082
google/gemma-3-1b-it,To bake sourdough bread,0,3631,font,1,5986,7745,1,9,1,13.290946960449219
google/gemma-3-1b-it,To bake sourdough bread,0,3633,aur,1,20421,13450,1,10,1,13.872476577758789
google/gemma-3-1b-it,To bake sourdough bread,0,3803, God,1,1862,3131,1,4,1,11.759024620056152
google/gemma-3-1b-it,To bake sourdough bread,0,3834,At,2,8825,17846,2,2,1,
google/gemma-3-1b-it,To bake sourdough bread,0,4111,idge,4,211333,140761,4,11,1,
google/gemma-3-1b-it,To bake sourdough bread,0,4340,OC,1,10107,16243,1,11,1,14.441157341003418
google/gemma-3-1b-it,To bake sourdough bread,0,4648, tim,1,96920,94810,1,11,1,16.62468719482422
google/gemma-3-1b-it,To bake sourdough bread,0,4680, cand,1,57169,38079,1,11,1,15.2874116897583
google/gemma-3-1b-it,To bake sourdough bread,0,4754,My,2,19723,35407,2,2,1,
google/gemma-3-1b-it,To bake sourdough bread,0,4981, status,1,129858,101309,1,11,1,15.713464736938477
google/gemma-3-1b-it,To bake sourdough bread,0,5083, dro,6,224023,171612,5,12,1,
google/gemma-3-1b-it,To bake sourdough bread,0,5380, va,1,81307,111204,1,11,1,16.972732543945312
google/gemma-3-1b-it,To bake sourdough bread,0,5512, pun,3,89128,142022,6,11,1,
google/gemma-3-1b-it,To bake sourdough bread,0,5628, located,1,3883,2202,1,3,1,11.556905746459961
google/gemma-3-1b-it,To bake sourdough bread,0,5732, nicht,1,21899,43391,1,11,1,14.707255363464355
google/gemma-3-1b-it,To bake sourdough bread,0,5912, See,1,84303,84100,1,11,1,14.868939399719238
google/gemma-3-1b-it,To bake sourdough bread,0,6060, handle,1,100351,84343,1,2,1,14.469264030456543
google/gemma-3-1b-it,To bake sourdough bread,0,6204,miss,1,156998,138132,1,11,1,16.586992263793945
google/gemma-3-1b-it,To bake sourdough bread,0,6254, tor,1,83412,54271,1,11,1,15.594250679016113
google/gemma-3-1b-it,To bake sourdough bread,0,6478, session,1,22802,7333,1,2,1,12.291007041931152
google/gemma-3-1b-it,To bake sourdough bread,0,6486, Sur,1,8091,13297,1,8,1,12.78644847869873
google/gemma-3-1b-it,To bake sourdough bread,0,6540, culture,1,8380,3205,1,2,1,11.805702209472656
google/gemma-3-1b-it,To bake sourdough bread,0,6541, capacity,1,10382,10859,1,2,1,12.133749008178711
google/gemma-3-1b-it,To bake sourdough bread,0,7568,pop,1,4137,15617,1,2,1,12.427447319030762
google/gemma-3-1b-it,To bake sourdough bread,0,7652,enz,1,21657,11437,1,11,1,14.042466163635254
google/gemma-3-1b-it,To bake sourdough bread,0,7808, moved,1,24658,45936,1,9,1,13.381481170654297
google/gemma-3-1b-it,To bake sourdough bread,0,7876, ven,1,129050,20750,1,11,1,14.40889835357666
google/gemma-3-1b-it,To bake sourdough bread,0,7902,double,1,109059,152678,1,2,1,15.931641578674316
google/gemma-3-1b-it,To bake sourdough bread,0,8021,allow,1,19722,12934,1,11,1,14.09605598449707
google/gemma-3-1b-it,To bake sourdough bread,0,8313, Kh,1,2183,498,1,2,1,12.363380432128906
google/gemma-3-1b-it,To bake sourdough bread,0,8448, interval,1,85101,58940,1,11,1,15.005911827087402
google/gemma-3-1b-it,To bake sourdough bread,0,9166, vez,1,60362,47667,1,11,1,15.51183795928955
google/gemma-3-1b-it,To bake sourdough bread,0,9208,These,2,104664,60060,2,2,1,
google/gemma-3-1b-it,To bake sourdough bread,0,9415,Eng,1,32408,52219,1,2,1,15.343186378479004
google/gemma-3-1b-it,To bake sourdough bread,0,9438,dt,1,76093,21272,1,11,1,15.04056167602539
google/gemma-3-1b-it,To bake sourdough bread,0,9577, tou,2,158662,107608,2,11,1,
google/gemma-3-1b-it,To bake sourdough bread,0,9697, feedback,1,130552,101036,1,11,1,16.449417114257812
google/gemma-3-1b-it,To bake sourdough bread,0,9744, village,1,4769,7784,1,2,1,12.53384780883789
google/gemma-3-1b-it,To bake sourdough bread,0,10480,match,1,27731,9352,1,2,1,13.7803373336792
google/gemma-3-1b-it,To bake sourdough bread,8,322,T,3042,247966,243575,3080,3071,3010,
google/gemma-3-1b-it,To bake sourdough bread,8,605,us,4,70154,33049,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,806,ous,4,134956,112204,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,850, app,3,60347,40477,3,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,1049,inal,3,35484,20320,3,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,1143,cept,4,141195,115878,4,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,1176, said,6,169363,179368,6,9,3,
google/gemma-3-1b-it,To bake sourdough bread,8,1240,riv,5,75281,102136,5,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,1276, Re,4,86640,88322,4,7,2,
google/gemma-3-1b-it,To bake sourdough bread,8,1382, aut,3,6450,10412,3,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,1417,wn,5,132405,102168,5,5,3,
google/gemma-3-1b-it,To bake sourdough bread,8,1428, equ,4,40358,47832,4,7,2,
google/gemma-3-1b-it,To bake sourdough bread,8,1844,uf,4,22031,48164,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,1911, var,3,18809,15409,3,4,2,
google/gemma-3-1b-it,To bake sourdough bread,8,1916,rc,3,67595,34306,3,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,2048, prote,4,30953,16160,4,5,3,
google/gemma-3-1b-it,To bake sourdough bread,8,2124,++,4,59935,78977,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,2233, invest,3,19621,22944,3,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,2247, put,3,78899,81883,3,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,2423,ino,4,52323,62301,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,2582,EXT,4,25106,49791,4,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,2669,ending,5,109620,126827,5,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,2802, access,5,136852,182581,5,6,3,
google/gemma-3-1b-it,To bake sourdough bread,8,3155, house,4,61200,25688,3,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,3210, thing,5,158080,118885,5,6,3,
google/gemma-3-1b-it,To bake sourdough bread,8,3631,font,4,38361,37929,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,3633,aur,4,84967,94469,4,6,2,
google/gemma-3-1b-it,To bake sourdough bread,8,3803, God,3,75932,90072,3,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,3834,At,7,190768,173254,7,10,3,
google/gemma-3-1b-it,To bake sourdough bread,8,4111,idge,4,81699,53258,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,4340,OC,3,5892,8719,3,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,4648, tim,4,51219,62912,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,4680, cand,5,139570,135076,5,9,3,
google/gemma-3-1b-it,To bake sourdough bread,8,4754,My,5,151307,165945,5,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,4981, status,5,177071,131753,5,6,3,
google/gemma-3-1b-it,To bake sourdough bread,8,5083, dro,4,61472,16136,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,5380, va,3,55802,55095,3,6,2,
google/gemma-3-1b-it,To bake sourdough bread,8,5512, pun,4,27837,60304,4,6,2,
google/gemma-3-1b-it,To bake sourdough bread,8,5628, located,4,122776,105005,4,6,2,
google/gemma-3-1b-it,To bake sourdough bread,8,5732, nicht,3,35138,93342,3,7,2,
google/gemma-3-1b-it,To bake sourdough bread,8,5912, See,4,149712,132933,4,7,2,
google/gemma-3-1b-it,To bake sourdough bread,8,6060, handle,6,209032,182427,5,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,6204,miss,5,137568,117749,5,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,6254, tor,20,228454,201744,18,25,9,
google/gemma-3-1b-it,To bake sourdough bread,8,6478, session,6,211336,151261,6,10,3,
google/gemma-3-1b-it,To bake sourdough bread,8,6486, Sur,4,75365,42508,4,6,2,
google/gemma-3-1b-it,To bake sourdough bread,8,6540, culture,5,171051,148943,5,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,6541, capacity,4,131486,127979,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,7568,pop,5,110400,169709,5,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,7652,enz,5,115892,143391,5,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,7808, moved,7,182201,202898,7,11,3,
google/gemma-3-1b-it,To bake sourdough bread,8,7876, ven,4,115631,23284,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,8,7902,double,5,132217,131884,5,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,8021,allow,5,104535,98607,5,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,8313, Kh,4,31620,30150,4,7,2,
google/gemma-3-1b-it,To bake sourdough bread,8,8448, interval,2,10797,3188,2,4,2,
google/gemma-3-1b-it,To bake sourdough bread,8,9166, vez,5,100795,116386,5,6,3,
google/gemma-3-1b-it,To bake sourdough bread,8,9208,These,3,130609,118954,3,6,2,
google/gemma-3-1b-it,To bake sourdough bread,8,9415,Eng,4,45321,61446,4,7,3,
google/gemma-3-1b-it,To bake sourdough bread,8,9438,dt,3,14194,5871,2,4,2,
google/gemma-3-1b-it,To bake sourdough bread,8,9577, tou,7,153549,131677,7,11,3,
google/gemma-3-1b-it,To bake sourdough bread,8,9697, feedback,7,196612,218010,7,12,4,
google/gemma-3-1b-it,To bake sourdough bread,8,9744, village,7,128428,181172,7,12,3,
google/gemma-3-1b-it,To bake sourdough bread,8,10480,match,4,90041,103228,4,6,2,
google/gemma-3-1b-it,To bake sourdough bread,17,322,T,2816,250770,244832,2843,2886,2789,
google/gemma-3-1b-it,To bake sourdough bread,17,605,us,3,62133,54014,3,4,2,
google/gemma-3-1b-it,To bake sourdough bread,17,806,ous,4,125538,91229,4,5,2,
google/gemma-3-1b-it,To bake sourdough bread,17,850, app,3,79177,75884,3,5,2,
google/gemma-3-1b-it,To bake sourdough bread,17,1049,inal,3,46401,21603,3,4,2,
google/gemma-3-1b-it,To bake sourdough bread,17,1143,cept,4,115814,98132,3,5,2,
google/gemma-3-1b-it,To bake sourdough bread,17,1176, said,4,145877,169916,4,6,3,
