model,context,layer,target_id,target_text,rank1_target,rank1_wrong,rank1_random,top3,top5,top10,rank,margin,rel_margin,win_window_deg,entry_deg,no_worse_frac,voronoi_break,bias_break,nn5_angle
openai-community/gpt2,The capital of France is,0,60,],True,False,False,True,True,True,1.0,0.21012932062149048,0.22918882966041565,4.519645690917969,12.480354309082031,1.0,True,False,0.7668952941894531
openai-community/gpt2,The capital of France is,0,74,k,True,False,False,True,True,True,1.0,0.32493555545806885,0.3121291995048523,7.206683158874512,9.793316841125488,1.0,True,False,0.9606329798698425
openai-community/gpt2,The capital of France is,0,80,q,True,False,False,True,True,True,1.0,0.24856746196746826,0.28138497471809387,4.53066349029541,12.46933650970459,1.0,True,False,0.9127616286277771
openai-community/gpt2,The capital of France is,0,81,r,True,False,False,True,True,True,1.0,0.33777910470962524,0.31698888540267944,7.480607986450195,9.519392013549805,1.0,True,False,1.0150047540664673
openai-community/gpt2,The capital of France is,0,264, s,True,False,False,True,True,True,1.0,0.12267237901687622,0.14018453657627106,3.5163116455078125,13.483688354492188,1.0,True,False,0.9757677316665649
openai-community/gpt2,The capital of France is,0,268,en,True,False,False,True,True,True,1.0,0.23570257425308228,0.24896125495433807,4.880901336669922,12.119098663330078,1.0,True,False,1.0493488311767578
openai-community/gpt2,The capital of France is,0,270,it,True,False,False,True,True,True,1.0,0.2645168900489807,0.26775234937667847,5.702737808227539,11.297262191772461,1.0,True,False,0.9743526577949524
openai-community/gpt2,The capital of France is,0,324,ad,True,False,False,True,True,True,1.0,0.2304239273071289,0.24234671890735626,4.756202697753906,12.243797302246094,1.0,True,False,0.9878851175308228
openai-community/gpt2,The capital of France is,0,351, with,False,False,False,True,True,True,2.0,-0.032591938972473145,-0.03685688599944115,0.0,18.618112564086914,1.0,True,False,0.8268839120864868
openai-community/gpt2,The capital of France is,0,358,nd,True,False,False,True,True,True,1.0,0.32602524757385254,0.3410791754722595,5.515604019165039,11.484395980834961,1.0,True,False,1.03450608253479
openai-community/gpt2,The capital of France is,0,369, con,True,False,False,True,True,True,1.0,0.1633031964302063,0.20123976469039917,3.586566925048828,13.413433074951172,1.0,True,False,1.0088257789611816
