prompt,gap,f_rank,ent,p_max,isfun,ctxlen,cosang,label,ent_anti,p_max_anti
The capital of France is,5.9765625,111.0,4.110374450683594,0.23744282126426697,1.0,5.0,0.08789505809545517,0,,
The capital of Japan is,7.203125,204.0,3.290740489959717,0.2562214434146881,0.0,5.0,0.08567416667938232,0,,
The Eiffel Tower is located in,7.7265625,155.0,2.4805872440338135,0.48630377650260925,1.0,6.0,0.08182553201913834,0,,
The Statue of Liberty is in,12.8203125,1168.0,0.9812610745429993,0.8466784358024597,1.0,6.0,0.052719131112098694,0,,
The tallest building in the world is in,13.3984375,621.0,0.42498207092285156,0.9372064471244812,1.0,8.0,0.06160907819867134,0,,
My favorite city in the world is,11.48828125,1246.0,2.669945001602173,0.3408508598804474,1.0,7.0,0.05322238430380821,0,,
I visited Paris last summer and it was,5.5078125,113.0,4.035214900970459,0.19603413343429565,1.0,8.0,0.09773291647434235,1,,
"If you ask me which European city is the most beautiful, I would say that",8.828125,100.0,1.9701497554779053,0.3813321888446808,1.0,16.0,0.0980646163225174,0,,
The most populous city in the United States is,12.265625,1044.0,2.0401570796966553,0.4945310652256012,1.0,9.0,0.061217062175273895,0,,
The Olympic Games were held in,5.578125,40.0,2.5329511165618896,0.38101425766944885,1.0,6.0,0.10721579194068909,1,,
Once upon a time there was a,12.234375,5738.0,4.472469329833984,0.27798381447792053,0.0,7.0,0.026679713279008865,0,,
For dinner I made,14.9296875,3129.0,1.214095950126648,0.7773195505142212,1.0,4.0,0.03846286982297897,0,,
A good place to live is,15.2451171875,9427.0,2.548076629638672,0.5516791343688965,1.0,6.0,0.013719240203499794,0,,
The best place to go on vacation is,16.64599609375,13808.0,2.585254669189453,0.3288927972316742,1.0,8.0,0.007866159081459045,0,,
People from all over the world visit,9.51171875,3533.0,5.394859790802002,0.1232340931892395,0.0,7.0,0.037102602422237396,1,,
I would love to travel to,4.1796875,46.0,5.260540008544922,0.21490345895290375,1.0,6.0,0.11590277403593063,1,,
The airport in this country is in,6.59375,108.0,3.2700321674346924,0.3420226275920868,1.0,7.0,0.09404052793979645,0,,
The concert was held in,11.77734375,1743.0,2.0441408157348633,0.7177673578262329,1.0,5.0,0.0478215366601944,0,,
The conference will take place in,12.646484375,4605.0,3.53696608543396,0.24739639461040497,1.0,6.0,0.030945846810936928,0,,
The team's biggest match is in,10.7265625,923.0,2.547703504562378,0.49581003189086914,1.0,8.0,0.055871449410915375,0,,
Birds fly south in the winter to,10.16015625,767.0,3.2036216259002686,0.41039368510246277,1.0,7.0,0.06710247695446014,0,,
The weather is nice today in,13.76171875,2585.0,1.6333158016204834,0.5111896395683289,0.0,6.0,0.041808389127254486,0,,
I woke up this morning and decided to,13.203125,4514.0,4.453303813934326,0.07439328730106354,0.0,8.0,0.026612285524606705,0,,
She told me that the meeting was in,11.5859375,1281.0,2.4479854106903076,0.3661130964756012,1.0,8.0,0.04755914956331253,0,,
It happened near the big city of,5.0234375,47.0,4.520789623260498,0.3964240849018097,1.0,7.0,0.10941245406866074,1,,
__META__,0,96,0.84,0.8,0,5,4.0,5,,
