r0,top0,margin0,top_end,margin_end,cross_deg,cross_blocker,arc_reachable,context,target_id,target_text
41108,19058,-0.21769937872886658,195414,0.0,12.960954910791834,19058,True,The quantum computer,717,ect
96409,19058,-0.23437470197677612,95619,0.0,15.114444802672441,19058,True,The quantum computer,4332,nov
28888,19058,-0.2115682065486908,9095,0.0,12.92678885174778,19058,True,The quantum computer,10740,dig
248792,19058,-0.2788895070552826,3161,0.0,17.35994160920671,19058,True,The quantum computer,19723, ಜ
97095,19058,-0.23453444242477417,2307,0.0,14.835885413612823,19058,True,The quantum computer,45945, उन्
214938,19058,-0.2621682286262512,1032,0.0,16.774879432024772,19058,True,The quantum computer,70722, був
57224,19058,-0.22369618713855743,664,0.0,14.230669380597506,19058,True,The quantum computer,72704, Greeks
12485,19058,-0.1972905546426773,3161,0.0,13.198794569696968,19058,True,The quantum computer,80695, обсу
182165,19058,-0.25290173292160034,3298,0.0,16.317879091396456,19058,True,The quantum computer,103323,ële
61232,19058,-0.22497621178627014,3364,0.0,14.194233811314083,19058,True,The quantum computer,132022, Batteries
259027,19058,-0.29386505484580994,138,0.0,18.459434297989613,19058,True,The quantum computer,142508, fattori
254155,19058,-0.2846410274505615,2263,0.0,18.83673649928708,19058,True,The quantum computer,145310, אשר
12437,19058,-0.1972196400165558,545,0.0,13.1240904474508,19058,True,The quantum computer,146778,镜像
30702,19058,-0.21266625821590424,4901,0.0,13.304869019490685,19058,True,The quantum computer,159025,वनि
139321,19058,-0.24297010898590088,545,0.0,14.92587579361666,19058,True,The quantum computer,165745,eneo
124617,19058,-0.24067212641239166,1032,0.0,20.041449531024522,134277,True,The quantum computer,170240, Grilled
21771,19058,-0.2067245990037918,528,0.0,15.320400393770143,19058,True,The quantum computer,175866, Oka
133735,19058,-0.24212443828582764,646,0.0,16.530789396412573,19058,True,The quantum computer,191233, Weibo
177252,19058,-0.25169891119003296,3364,0.0,17.108310261903526,19058,True,The quantum computer,213193, నిర్మాణ
228219,19058,-0.2671576738357544,3161,0.0,16.145226716000774,19058,True,The quantum computer,213871, accedere
152922,19058,-0.24598407745361328,2558,0.0,15.476314298834126,19058,True,The quantum computer,224763, réussir
25124,19058,-0.2091965228319168,1032,0.0,13.405268319857784,19058,True,The quantum computer,239273,甚
185597,19058,-0.25375738739967346,545,0.0,16.6810990370183,19058,True,The quantum computer,245123,溼
65337,19058,-0.22621160745620728,236743,0.0,14.326222656455554,19058,True,The quantum computer,254474,鉋
42192,19058,-0.1768689602613449,195414,0.0,10.584233751014935,19058,True,For dinner I made,717,ect
106677,19058,-0.19655948877334595,42519,0.0,12.752158139732662,19058,True,For dinner I made,4332,nov
54990,19058,-0.1818331778049469,57606,0.0,11.178591450753482,19058,True,For dinner I made,10740,dig
250968,19058,-0.24317100644111633,3161,0.0,15.21585223229071,19058,True,For dinner I made,19723, ಜ
212874,19058,-0.222842276096344,2307,0.0,14.207132906387274,19058,True,For dinner I made,45945, उन्
214574,19058,-0.22341322898864746,1847,0.0,14.37412088891467,19058,True,For dinner I made,70722, був
191272,19058,-0.2176411896944046,664,0.0,13.960507726133844,19058,True,For dinner I made,72704, Greeks
6948,19058,-0.14872977137565613,3161,0.0,10.014298419188773,19058,True,For dinner I made,80695, обсу
186037,19058,-0.21623899042606354,537,0.0,14.034135857204072,19058,True,For dinner I made,103323,ële
77494,19058,-0.1889498233795166,1847,0.0,11.99281328911753,19058,True,For dinner I made,132022, Batteries
246071,19058,-0.23879991471767426,2870,0.0,15.056079779220335,19058,True,For dinner I made,142508, fattori
247360,19058,-0.23982270061969757,2263,0.0,16.42730301690889,9366,True,For dinner I made,145310, אשר
58762,19058,-0.1831503063440323,5396,0.0,12.289791502545489,19058,True,For dinner I made,146778,镜像
56169,19058,-0.18225084245204926,6082,0.0,11.475242165052558,19058,True,For dinner I made,159025,वनि
184615,19058,-0.21584543585777283,870,0.0,13.343658619973866,9366,True,For dinner I made,165745,eneo
36977,19058,-0.17452503740787506,1032,0.0,22.48007662397858,134277,True,For dinner I made,170240, Grilled
14343,19058,-0.15934936702251434,528,0.0,11.903314330334085,19058,True,For dinner I made,175866, Oka
207162,19058,-0.2209845781326294,646,0.0,15.206296004736119,19058,True,For dinner I made,191233, Weibo
141165,19058,-0.20490455627441406,3715,0.0,14.01021521955681,19058,True,For dinner I made,213193, నిర్మాణ
191030,19058,-0.21757322549819946,756,0.0,13.200795888898249,19058,True,For dinner I made,213871, accedere
198080,19058,-0.21887938678264618,2263,0.0,13.858385492487981,19058,True,For dinner I made,224763, réussir
65977,19058,-0.18549667298793793,1001,0.0,11.972198848285123,19058,True,For dinner I made,239273,甚
132402,19058,-0.2027992457151413,568,0.0,13.397330376839328,19058,True,For dinner I made,245123,溼
43559,19058,-0.177483931183815,236743,0.0,11.299381643309312,19058,True,For dinner I made,254474,鉋
