model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,58,J,1,3970,20076,1,190,1,16.445852279663086
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,73,Y,1,29982,4737,1,19,1,10.51163387298584
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,78,^,1,35793,28249,1,91,1,13.834096908569336
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,79,_,1,13267,8903,1,2,1,6.783074378967285
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,108,|,1,47428,24339,1,3,1,9.53471851348877
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,258,on,1,30264,5993,1,1,1,7.354488372802734
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,262, s,1,48242,17364,1,2,1,7.5696187019348145
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,264,en,1,48534,37544,1,18,1,12.479862213134766
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,317,ra,1,8893,10427,1,5,1,9.246491432189941
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,343,ith,1,25709,40770,1,94,1,15.299882888793945
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,350,od,1,40789,33024,1,15,1,14.178229331970215
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,361,ge,1,44100,41939,1,96,1,15.527922630310059
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,380,iv,1,36350,18409,1,40,1,13.7985258102417
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,388,ill,1,34021,11787,1,18,1,11.876113891601562
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,406,oc,1,19844,9732,1,27,1,11.858322143554688
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,410, ch,1,48449,17410,1,2,1,11.377291679382324
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,440,rou,1,10785,23975,1,52,1,13.328964233398438
HuggingFaceTB/SmolLM-135M-Instruct,The capital of France is,0,483,ated,1,14807,28906,1,6,1,11.388309478759766
