model,context,layer,target_id,target_text,rank1_target,rank1_wrong,rank1_random,top3,top5,top10,rank,margin,rel_margin,win_window_deg,entry_deg,no_worse_frac,voronoi_break,bias_break,nn5_angle
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,350, T,True,False,False,True,True,True,1.0,0.06341439485549927,0.19688430428504944,37.2443962097168,7.7556047439575195,1.0,False,False,0.924508273601532
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,467, W,True,False,False,True,True,True,1.0,0.048549503087997437,0.16188184916973114,35.93746566772461,9.06253433227539,1.0,False,False,0.9144337773323059
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,492,(',True,False,False,True,True,True,1.0,0.041780441999435425,0.15155622363090515,35.36758804321289,9.632411003112793,1.0,False,False,0.8729516267776489
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,607, str,True,False,False,True,True,True,1.0,0.06262284517288208,0.2125357985496521,33.23878860473633,11.761210441589355,1.0,False,False,0.8053178787231445
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,660,'],True,False,False,True,True,True,1.0,0.05846799910068512,0.22491717338562012,31.649404525756836,13.350595474243164,1.0,False,False,0.9090980887413025
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,680,ition,True,False,False,True,True,True,1.0,0.09070494771003723,0.258839875459671,34.773033142089844,10.226964950561523,1.0,False,False,0.9517383575439453
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,712,per,True,False,False,True,True,True,1.0,0.1398906111717224,0.41050899028778076,35.577980041503906,9.42202091217041,1.0,False,False,0.9015453457832336
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,718,add,True,False,False,True,True,True,1.0,0.09537899494171143,0.3173295557498932,33.63874435424805,11.361254692077637,1.0,False,False,0.7790361642837524
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,737, void,True,False,False,True,True,True,1.0,0.05119919776916504,0.17326711118221283,34.403419494628906,10.596580505371094,1.0,False,False,0.9173274040222168
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,818,Cont,True,False,False,True,True,True,1.0,0.0670408308506012,0.24429258704185486,31.892292022705078,13.107707023620605,1.0,False,False,0.8174625635147095
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,825, one,True,False,False,True,True,True,1.0,0.06693993508815765,0.2388543337583542,34.08379364013672,10.916206359863281,1.0,False,False,0.862382709980011
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,979, when,True,False,False,True,True,True,1.0,0.05841048061847687,0.20784345269203186,35.785037994384766,9.21496295928955,1.0,False,False,0.8594464659690857
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1065,min,True,False,False,True,True,True,1.0,0.08210180699825287,0.25680747628211975,34.36668014526367,10.633320808410645,1.0,False,False,0.7987143397331238
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1104,idth,True,False,False,True,True,True,1.0,0.16418009996414185,0.40654560923576355,36.31675338745117,8.683246612548828,1.0,False,False,1.0227657556533813
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1105, them,True,False,False,True,True,True,1.0,0.07560373842716217,0.2528377175331116,32.28012466430664,12.71987533569336,1.0,False,False,0.9088085293769836
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1183,"[""",True,False,False,True,True,True,1.0,0.060153529047966,0.20500239729881287,35.09929275512695,9.900707244873047,1.0,False,False,0.9216483235359192
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1228,cript,True,False,False,True,True,True,1.0,0.12743189930915833,0.3485832214355469,35.60610580444336,9.39389419555664,1.0,False,False,1.0898792743682861
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1291,right,True,False,False,True,True,True,1.0,0.08570563793182373,0.2656479477882385,31.634965896606445,13.365034103393555,1.0,False,False,0.7359724044799805
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1302,.g,True,False,False,True,True,True,1.0,0.12314675748348236,0.4194085896015167,35.354591369628906,9.645408630371094,1.0,False,False,0.9705681204795837
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1402,AM,True,False,False,True,True,True,1.0,0.0922270119190216,0.30741092562675476,33.18009948730469,11.819901466369629,1.0,False,False,0.9661501049995422
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1489,fl,True,False,False,True,True,True,1.0,0.12003789842128754,0.40581318736076355,31.492549896240234,13.507450103759766,1.0,False,False,0.9368596076965332
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1546,sole,True,False,False,True,True,True,1.0,0.16580931842327118,0.452311635017395,33.88545227050781,11.114548683166504,1.0,False,False,1.0648449659347534
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1619, att,True,False,False,True,True,True,1.0,0.13454288244247437,0.4538405239582062,34.75358200073242,10.246417999267578,1.0,False,False,1.0493648052215576
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1822, av,True,False,False,True,True,True,1.0,0.10359145700931549,0.36880606412887573,31.5179443359375,13.4820556640625,1.0,False,False,0.9577433466911316
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1854,uss,True,False,False,True,True,True,1.0,0.13123515248298645,0.375072181224823,35.387088775634766,9.612910270690918,1.0,False,False,1.0735689401626587
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1890,AG,True,False,False,True,True,True,1.0,0.09964482486248016,0.3351394534111023,32.14533996582031,12.85466194152832,1.0,False,False,0.9924986958503723
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2095,utes,True,False,False,True,True,True,1.0,0.13628694415092468,0.3556666970252991,35.09291076660156,9.907087326049805,1.0,False,False,0.918310821056366
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2100, AN,True,False,False,True,True,True,1.0,0.08413971960544586,0.32148244976997375,32.55857849121094,12.441421508789062,1.0,False,False,1.026518702507019
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2197, document,True,False,False,True,True,True,1.0,0.039388686418533325,0.1267772912979126,34.37416076660156,10.62584114074707,1.0,False,False,0.6981071829795837
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2216,ric,True,False,False,True,True,True,1.0,0.14940667152404785,0.40957748889923096,37.17509460449219,7.824903964996338,1.0,False,False,1.0540237426757812
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2375,erg,True,False,False,True,True,True,1.0,0.1829509437084198,0.5054352283477783,34.51985168457031,10.480146408081055,1.0,False,False,1.1126034259796143
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2512,Action,True,False,False,True,True,True,1.0,0.04796162247657776,0.16545704007148743,32.13762664794922,12.862373352050781,1.0,False,False,0.704767107963562
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2673,ically,True,False,False,True,True,True,1.0,0.19068007171154022,0.5194665789604187,38.266029357910156,6.733972072601318,1.0,False,False,1.0946677923202515
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2682,vis,True,False,False,True,True,True,1.0,0.11952166259288788,0.3688466250896454,34.74208068847656,10.257919311523438,1.0,False,False,0.9707064628601074
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2700,ponents,True,False,False,True,True,True,1.0,0.13450320065021515,0.3697194457054138,35.20038604736328,9.799613952636719,1.0,False,False,1.062337040901184
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2752,pen,True,False,False,True,True,True,1.0,0.14398394525051117,0.44451454281806946,33.11466979980469,11.88532829284668,1.0,False,False,0.9643556475639343
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2884, design,True,False,False,True,True,True,1.0,0.031863659620285034,0.10878239572048187,33.36499786376953,11.635002136230469,1.0,False,False,0.6676196455955505
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2931,quired,True,False,False,True,True,True,1.0,0.14333628118038177,0.4042130410671234,34.33984375,10.66015625,1.0,False,False,0.9788791537284851
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3114,cribe,True,False,False,True,True,True,1.0,0.13241910934448242,0.3424714505672455,38.11014938354492,6.889851093292236,1.0,False,False,0.9623790979385376
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3182,create,True,False,False,True,True,True,1.0,0.0821211040019989,0.2785184383392334,34.117713928222656,10.882287979125977,1.0,False,False,0.7412150502204895
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3246,agn,True,False,False,True,True,True,1.0,0.13326378166675568,0.381259560585022,37.07450866699219,7.925491809844971,1.0,False,False,1.1165751218795776
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3314,cul,True,False,False,True,True,True,1.0,0.16786247491836548,0.4832973778247833,33.41530227661133,11.584697723388672,1.0,False,False,1.147121787071228
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3323,Token,True,False,False,True,True,True,1.0,0.06352026760578156,0.20990236103534698,36.09253692626953,8.907461166381836,1.0,False,False,0.7104141712188721
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3409, word,True,False,False,True,True,True,1.0,0.04713746905326843,0.16266152262687683,30.9610652923584,14.038934707641602,1.0,False,False,0.7134787440299988
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3425, whether,True,False,False,True,True,True,1.0,0.025570034980773926,0.08755143731832504,32.767730712890625,12.232267379760742,1.0,False,False,0.781433641910553
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3509,node,True,False,False,True,True,True,1.0,0.050182655453681946,0.16988933086395264,31.58667755126953,13.413323402404785,1.0,False,False,0.6677348017692566
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3613, members,True,False,False,True,True,True,1.0,0.029560759663581848,0.10815876722335815,31.55419921875,13.44580078125,1.0,False,False,0.7070263028144836
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3738, human,True,False,False,True,True,True,1.0,0.0497305691242218,0.16920258104801178,33.61911392211914,11.380885124206543,1.0,False,False,0.7250682711601257
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3751,fect,True,False,False,True,True,True,1.0,0.1685451865196228,0.47910112142562866,33.72788619995117,11.272113800048828,1.0,False,False,1.1021164655685425
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3774, unsigned,True,False,False,True,True,True,1.0,0.05360996723175049,0.1917482614517212,32.63886260986328,12.361139297485352,1.0,False,False,0.8774652481079102
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4372,avigation,True,False,False,True,True,True,1.0,0.15712152421474457,0.412808358669281,35.83327865600586,9.16672134399414,1.0,False,False,1.05111825466156
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4428, similar,True,False,False,True,True,True,1.0,0.05395710468292236,0.18857862055301666,33.56460952758789,11.435389518737793,1.0,False,False,0.866177499294281
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4477,ARE,True,False,False,True,True,True,1.0,0.10849566757678986,0.33209550380706787,32.02918243408203,12.970815658569336,1.0,False,False,0.9829300045967102
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4520, Sec,True,False,False,True,True,True,1.0,0.05975228548049927,0.1974729746580124,33.73724365234375,11.26275634765625,1.0,False,False,0.8827747702598572
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4564, connect,True,False,False,True,True,True,1.0,0.04155288636684418,0.15061792731285095,31.13124656677246,13.868753433227539,1.0,False,False,0.7473284602165222
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4578,tag,True,False,False,True,True,True,1.0,0.10059690475463867,0.28596413135528564,36.96038055419922,8.039617538452148,1.0,False,False,0.7825040221214294
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4624,Repository,True,False,False,True,True,True,1.0,0.0909235030412674,0.3254287838935852,31.837474822998047,13.16252613067627,1.0,False,False,0.8847357034683228
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4738,ief,True,False,False,True,True,True,1.0,0.16165165603160858,0.45493951439857483,34.70081329345703,10.299187660217285,1.0,False,False,1.1437441110610962
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4796, campaign,True,False,False,True,True,True,1.0,0.04936280846595764,0.15599793195724487,35.50825119018555,9.49174976348877,1.0,False,False,0.7171083092689514
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4880, shall,True,False,False,True,True,True,1.0,0.08667246997356415,0.27692216634750366,34.64448928833008,10.355509757995605,1.0,False,False,0.9992985725402832
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,5206, mut,True,False,False,True,True,True,1.0,0.11391296982765198,0.3517038822174072,35.41303634643555,9.586962699890137,1.0,False,False,1.0031614303588867
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,5293, notice,True,False,False,True,True,True,1.0,0.057628631591796875,0.19599908590316772,32.19881057739258,12.801188468933105,1.0,False,False,0.7431342601776123
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,5332,_config,True,False,False,True,True,True,1.0,0.033274710178375244,0.11634626239538193,36.952171325683594,8.04782772064209,1.0,False,False,0.7206514477729797
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,5425, prote,True,False,False,True,True,True,1.0,0.0878673642873764,0.3143331706523895,32.22947692871094,12.77052116394043,1.0,False,False,1.110499382019043
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,8,350, T,True,False,False,True,True,True,1.0,0.07434460520744324,0.23043736815452576,39.4301872253418,5.569814205169678,1.0,False,False,0.924508273601532
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,8,467, W,True,False,False,True,True,True,1.0,0.06152184307575226,0.21102847158908844,36.75697326660156,8.243027687072754,1.0,False,False,0.9144337773323059
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,8,492,(',True,False,False,True,True,True,1.0,0.04620170593261719,0.16781632602214813,37.62571716308594,7.374281883239746,1.0,False,False,0.8729516267776489
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,8,607, str,True,False,False,True,True,True,1.0,0.06376048922538757,0.20313653349876404,38.9477424621582,6.052258014678955,1.0,False,False,0.8053178787231445
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,8,660,'],True,False,False,True,True,True,1.0,0.06624026596546173,0.24827736616134644,32.34090042114258,12.659099578857422,1.0,False,False,0.9090980887413025
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,8,680,ition,True,False,False,True,True,True,1.0,0.11062319576740265,0.31739601492881775,34.358734130859375,10.641263961791992,1.0,False,False,0.9517383575439453
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,8,712,per,True,False,False,True,True,True,1.0,0.13133665919303894,0.39118874073028564,36.02815628051758,8.971842765808105,1.0,False,False,0.9015453457832336
